timestamp,master_and_slave,master_xor_slave,neither,1st Res Pair,2nd Res Pair,3rd Res Pair
2019-12-15T22:11:00.000Z,0,0,1,4,1,7
2019-12-15T22:12:00.000Z,0,1,0,1,4,0
2019-12-15T22:13:00.000Z,0,0,1,1,4,2
2019-12-15T22:14:00.000Z,0,1,0,1,4,0
2019-12-15T22:15:00.000Z,0,0,1,1,4,2
2019-12-15T22:16:00.000Z,0,0,1,1,4,2
2019-12-15T22:17:00.000Z,0,1,0,1,4,0
2019-12-15T22:18:00.000Z,0,0,1,1,4,9
2019-12-15T22:19:00.000Z,0,0,1,1,4,2
2019-12-15T22:20:00.000Z,0,0,1,1,2,4
2019-12-15T22:21:00.000Z,0,0,1,1,9,7
2019-12-15T22:22:00.000Z,0,0,1,7,1,8
2019-12-15T22:23:00.000Z,0,0,1,7,1,4
2019-12-15T22:24:00.000Z,0,0,1,7,1,4
2019-12-15T22:25:00.000Z,0,0,1,7,1,4
2019-12-15T22:26:00.000Z,0,0,1,7,1,4
2019-12-15T22:27:00.000Z,0,0,1,7,1,4
2019-12-15T22:28:00.000Z,0,0,1,7,1,4
2019-12-15T22:29:00.000Z,0,0,1,7,1,4
2019-12-15T22:30:00.000Z,0,0,1,7,1,4
2019-12-15T22:31:00.000Z,0,0,1,7,1,4
2019-12-15T22:32:00.000Z,0,0,1,7,1,4
2019-12-15T22:33:00.000Z,0,0,1,7,1,4
2019-12-15T22:34:00.000Z,0,0,1,7,1,4
2019-12-15T22:35:00.000Z,0,0,1,7,1,4
2019-12-15T22:36:00.000Z,0,0,1,7,1,4
2019-12-15T22:37:00.000Z,0,0,1,7,1,4
2019-12-15T22:38:00.000Z,0,0,1,7,1,4
2019-12-15T22:39:00.000Z,0,0,1,7,1,4
2019-12-15T22:40:00.000Z,0,0,1,7,1,4
2019-12-15T22:41:00.000Z,0,0,1,1,7,4
2019-12-15T22:42:00.000Z,0,0,1,7,1,4
2019-12-15T22:43:00.000Z,0,0,1,7,1,4
2019-12-15T22:44:00.000Z,0,0,1,7,1,4
2019-12-15T22:45:00.000Z,0,0,1,7,1,4
2019-12-15T22:46:00.000Z,0,0,1,7,1,4
2019-12-15T22:47:00.000Z,0,0,1,7,1,4
2019-12-15T22:48:00.000Z,0,0,1,1,7,4
2019-12-15T22:49:00.000Z,0,0,1,1,7,4
2019-12-15T22:50:00.000Z,0,0,1,7,1,4
2019-12-15T22:51:00.000Z,0,0,1,7,1,4
2019-12-15T22:52:00.000Z,0,0,1,7,1,4
2019-12-15T22:53:00.000Z,0,0,1,7,1,4
2019-12-15T22:54:00.000Z,0,0,1,7,1,4
2019-12-15T22:55:00.000Z,0,0,1,7,1,4
2019-12-15T22:56:00.000Z,0,0,1,7,1,4
2019-12-15T22:57:00.000Z,0,0,1,7,1,4
2019-12-15T22:58:00.000Z,0,0,1,7,1,4
2019-12-15T22:59:00.000Z,0,0,1,7,1,4
2019-12-15T23:0:00.000Z,0,0,1,7,1,4
2019-12-15T23:1:00.000Z,0,0,1,1,7,4
2019-12-15T23:2:00.000Z,0,0,1,7,1,4
2019-12-15T23:3:00.000Z,0,0,1,7,1,4
2019-12-15T23:4:00.000Z,0,0,1,7,1,4
2019-12-15T23:5:00.000Z,0,0,1,7,1,4
2019-12-15T23:6:00.000Z,0,0,1,7,1,4
2019-12-15T23:7:00.000Z,0,0,1,4,7,1
2019-12-15T23:8:00.000Z,0,0,1,4,7,1
2019-12-15T23:9:00.000Z,0,0,1,4,7,8
2019-12-15T23:10:00.000Z,0,0,1,7,4,3
2019-12-15T23:11:00.000Z,0,0,1,7,4,1
2019-12-15T23:12:00.000Z,0,0,1,4,7,1
2019-12-15T23:13:00.000Z,0,0,1,4,1,8
2019-12-15T23:14:00.000Z,0,0,1,4,1,8
2019-12-15T23:15:00.000Z,0,0,1,4,1,7
